Temperature (C)	Pressure (MPa)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
15.042	0.10132	0.99910	1.0009	1.1377	1.1395	4.0545	75.201	75.455	1466.1	-0.22855	1136.3	0.58888	liquid
15.225	0.10132	0.99907	1.0009	1.1515	1.1533	4.1025	75.189	75.452	1466.7	-0.22841	1130.8	0.58923	liquid
15.409	0.10132	0.99904	1.0010	1.1653	1.1672	4.1504	75.178	75.448	1467.4	-0.22827	1125.4	0.58958	liquid
15.592	0.10132	0.99901	1.0010	1.1792	1.1810	4.1983	75.167	75.445	1468.0	-0.22813	1120.0	0.58993	liquid
15.775	0.10132	0.99898	1.0010	1.1930	1.1948	4.2462	75.155	75.442	1468.6	-0.22800	1114.6	0.59028	liquid
15.959	0.10132	0.99895	1.0010	1.2068	1.2087	4.2941	75.144	75.438	1469.2	-0.22786	1109.3	0.59063	liquid
16.142	0.10132	0.99892	1.0011	1.2207	1.2225	4.3419	75.133	75.435	1469.9	-0.22772	1104.0	0.59097	liquid
16.325	0.10132	0.99889	1.0011	1.2345	1.2363	4.3897	75.121	75.432	1470.5	-0.22758	1098.8	0.59132	liquid
16.508	0.10132	0.99886	1.0011	1.2483	1.2502	4.4374	75.110	75.429	1471.1	-0.22745	1093.6	0.59166	liquid
16.692	0.10132	0.99883	1.0012	1.2621	1.2640	4.4851	75.098	75.425	1471.7	-0.22731	1088.4	0.59200	liquid
16.875	0.10132	0.99880	1.0012	1.2760	1.2778	4.5328	75.087	75.422	1472.3	-0.22718	1083.3	0.59234	liquid
17.058	0.10132	0.99877	1.0012	1.2898	1.2916	4.5805	75.075	75.419	1472.9	-0.22704	1078.2	0.59269	liquid
17.242	0.10132	0.99874	1.0013	1.3036	1.3055	4.6281	75.063	75.416	1473.6	-0.22691	1073.1	0.59302	liquid
17.425	0.10132	0.99870	1.0013	1.3175	1.3193	4.6757	75.052	75.413	1474.2	-0.22677	1068.1	0.59336	liquid
17.608	0.10132	0.99867	1.0013	1.3313	1.3331	4.7233	75.040	75.410	1474.8	-0.22664	1063.2	0.59370	liquid
17.792	0.10132	0.99864	1.0014	1.3451	1.3469	4.7708	75.028	75.408	1475.4	-0.22651	1058.2	0.59404	liquid
17.975	0.10132	0.99860	1.0014	1.3589	1.3608	4.8183	75.016	75.405	1476.0	-0.22637	1053.3	0.59437	liquid
18.158	0.10132	0.99857	1.0014	1.3727	1.3746	4.8657	75.004	75.402	1476.5	-0.22624	1048.5	0.59471	liquid
18.342	0.10132	0.99853	1.0015	1.3866	1.3884	4.9132	74.993	75.399	1477.1	-0.22611	1043.7	0.59504	liquid
18.525	0.10132	0.99850	1.0015	1.4004	1.4022	4.9606	74.981	75.397	1477.7	-0.22597	1038.9	0.59537	liquid
18.708	0.10132	0.99846	1.0015	1.4142	1.4160	5.0080	74.969	75.394	1478.3	-0.22584	1034.1	0.59570	liquid
18.892	0.10132	0.99843	1.0016	1.4280	1.4299	5.0553	74.957	75.391	1478.9	-0.22571	1029.4	0.59603	liquid
19.075	0.10132	0.99839	1.0016	1.4419	1.4437	5.1026	74.945	75.389	1479.5	-0.22558	1024.7	0.59636	liquid
19.258	0.10132	0.99836	1.0016	1.4557	1.4575	5.1499	74.933	75.386	1480.0	-0.22545	1020.1	0.59669	liquid
19.442	0.10132	0.99832	1.0017	1.4695	1.4713	5.1971	74.921	75.384	1480.6	-0.22531	1015.4	0.59702	liquid
19.625	0.10132	0.99828	1.0017	1.4833	1.4851	5.2443	74.909	75.382	1481.2	-0.22518	1010.9	0.59735	liquid
19.808	0.10132	0.99825	1.0018	1.4971	1.4990	5.2915	74.896	75.379	1481.8	-0.22505	1006.3	0.59767	liquid
19.992	0.10132	0.99821	1.0018	1.5109	1.5128	5.3387	74.884	75.377	1482.3	-0.22492	1001.8	0.59800	liquid
20.175	0.10132	0.99817	1.0018	1.5248	1.5266	5.3858	74.872	75.375	1482.9	-0.22479	997.32	0.59832	liquid
20.358	0.10132	0.99813	1.0019	1.5386	1.5404	5.4329	74.860	75.372	1483.4	-0.22466	992.87	0.59864	liquid
20.541	0.10132	0.99809	1.0019	1.5524	1.5542	5.4799	74.848	75.370	1484.0	-0.22453	988.45	0.59897	liquid
20.725	0.10132	0.99805	1.0019	1.5662	1.5680	5.5270	74.835	75.368	1484.6	-0.22440	984.06	0.59929	liquid
20.908	0.10132	0.99802	1.0020	1.5800	1.5819	5.5740	74.823	75.366	1485.1	-0.22428	979.71	0.59961	liquid
21.091	0.10132	0.99798	1.0020	1.5938	1.5957	5.6209	74.811	75.364	1485.6	-0.22415	975.38	0.59993	liquid
21.275	0.10132	0.99794	1.0021	1.6077	1.6095	5.6679	74.798	75.362	1486.2	-0.22402	971.09	0.60024	liquid
21.458	0.10132	0.99790	1.0021	1.6215	1.6233	5.7148	74.786	75.360	1486.7	-0.22389	966.83	0.60056	liquid
21.641	0.10132	0.99785	1.0022	1.6353	1.6371	5.7617	74.773	75.358	1487.3	-0.22376	962.59	0.60088	liquid
21.825	0.10132	0.99781	1.0022	1.6491	1.6509	5.8085	74.761	75.356	1487.8	-0.22364	958.39	0.60119	liquid
22.008	0.10132	0.99777	1.0022	1.6629	1.6647	5.8553	74.748	75.354	1488.3	-0.22351	954.21	0.60151	liquid
22.191	0.10132	0.99773	1.0023	1.6767	1.6786	5.9021	74.736	75.352	1488.9	-0.22338	950.07	0.60182	liquid
22.375	0.10132	0.99769	1.0023	1.6905	1.6924	5.9489	74.723	75.350	1489.4	-0.22325	945.95	0.60213	liquid
22.558	0.10132	0.99765	1.0024	1.7044	1.7062	5.9956	74.710	75.348	1489.9	-0.22313	941.87	0.60245	liquid
22.741	0.10132	0.99760	1.0024	1.7182	1.7200	6.0423	74.698	75.347	1490.5	-0.22300	937.81	0.60276	liquid
22.925	0.10132	0.99756	1.0024	1.7320	1.7338	6.0890	74.685	75.345	1491.0	-0.22288	933.78	0.60307	liquid
23.108	0.10132	0.99752	1.0025	1.7458	1.7476	6.1356	74.672	75.343	1491.5	-0.22275	929.77	0.60338	liquid
23.291	0.10132	0.99747	1.0025	1.7596	1.7614	6.1822	74.660	75.342	1492.0	-0.22262	925.80	0.60368	liquid
23.475	0.10132	0.99743	1.0026	1.7734	1.7752	6.2288	74.647	75.340	1492.5	-0.22250	921.85	0.60399	liquid
23.658	0.10132	0.99738	1.0026	1.7872	1.7891	6.2753	74.634	75.338	1493.0	-0.22237	917.93	0.60430	liquid
23.841	0.10132	0.99734	1.0027	1.8010	1.8029	6.3218	74.621	75.337	1493.5	-0.22225	914.03	0.60460	liquid
24.024	0.10132	0.99729	1.0027	1.8148	1.8167	6.3683	74.608	75.335	1494.1	-0.22213	910.17	0.60491	liquid
24.208	0.10132	0.99725	1.0028	1.8287	1.8305	6.4148	74.595	75.334	1494.6	-0.22200	906.33	0.60521	liquid
24.391	0.10132	0.99720	1.0028	1.8425	1.8443	6.4612	74.583	75.332	1495.1	-0.22188	902.51	0.60552	liquid
24.574	0.10132	0.99716	1.0029	1.8563	1.8581	6.5076	74.570	75.331	1495.6	-0.22175	898.72	0.60582	liquid
24.758	0.10132	0.99711	1.0029	1.8701	1.8719	6.5540	74.557	75.329	1496.1	-0.22163	894.96	0.60612	liquid
24.941	0.10132	0.99706	1.0029	1.8839	1.8857	6.6003	74.544	75.328	1496.5	-0.22151	891.22	0.60642	liquid
25.124	0.10132	0.99702	1.0030	1.8977	1.8995	6.6466	74.530	75.327	1497.0	-0.22138	887.51	0.60672	liquid
25.308	0.10132	0.99697	1.0030	1.9115	1.9133	6.6929	74.517	75.325	1497.5	-0.22126	883.82	0.60702	liquid
25.491	0.10132	0.99692	1.0031	1.9253	1.9272	6.7392	74.504	75.324	1498.0	-0.22114	880.15	0.60732	liquid
25.674	0.10132	0.99687	1.0031	1.9391	1.9410	6.7854	74.491	75.323	1498.5	-0.22102	876.51	0.60761	liquid
25.858	0.10132	0.99682	1.0032	1.9529	1.9548	6.8316	74.478	75.321	1499.0	-0.22089	872.90	0.60791	liquid
26.041	0.10132	0.99678	1.0032	1.9667	1.9686	6.8777	74.465	75.320	1499.4	-0.22077	869.31	0.60821	liquid
26.224	0.10132	0.99673	1.0033	1.9805	1.9824	6.9239	74.452	75.319	1499.9	-0.22065	865.74	0.60850	liquid
26.408	0.10132	0.99668	1.0033	1.9944	1.9962	6.9700	74.438	75.318	1500.4	-0.22053	862.20	0.60879	liquid
26.591	0.10132	0.99663	1.0034	2.0082	2.0100	7.0160	74.425	75.317	1500.9	-0.22041	858.68	0.60909	liquid
26.774	0.10132	0.99658	1.0034	2.0220	2.0238	7.0621	74.412	75.316	1501.3	-0.22029	855.18	0.60938	liquid
26.958	0.10132	0.99653	1.0035	2.0358	2.0376	7.1081	74.398	75.315	1501.8	-0.22017	851.71	0.60967	liquid
27.141	0.10132	0.99648	1.0035	2.0496	2.0514	7.1541	74.385	75.314	1502.3	-0.22005	848.26	0.60996	liquid
27.324	0.10132	0.99643	1.0036	2.0634	2.0652	7.2001	74.372	75.313	1502.7	-0.21992	844.83	0.61025	liquid
27.507	0.10132	0.99637	1.0036	2.0772	2.0790	7.2460	74.358	75.312	1503.2	-0.21980	841.42	0.61054	liquid
27.691	0.10132	0.99632	1.0037	2.0910	2.0928	7.2919	74.345	75.311	1503.6	-0.21968	838.04	0.61083	liquid
27.874	0.10132	0.99627	1.0037	2.1048	2.1066	7.3378	74.331	75.310	1504.1	-0.21956	834.67	0.61112	liquid
28.057	0.10132	0.99622	1.0038	2.1186	2.1204	7.3836	74.318	75.309	1504.5	-0.21945	831.33	0.61140	liquid
28.241	0.10132	0.99617	1.0038	2.1324	2.1342	7.4294	74.304	75.308	1505.0	-0.21933	828.01	0.61169	liquid
28.424	0.10132	0.99611	1.0039	2.1462	2.1481	7.4752	74.291	75.307	1505.4	-0.21921	824.72	0.61197	liquid
28.607	0.10132	0.99606	1.0040	2.1600	2.1619	7.5210	74.277	75.306	1505.9	-0.21909	821.44	0.61226	liquid
28.791	0.10132	0.99601	1.0040	2.1738	2.1757	7.5667	74.263	75.305	1506.3	-0.21897	818.18	0.61254	liquid
28.974	0.10132	0.99595	1.0041	2.1876	2.1895	7.6124	74.250	75.305	1506.7	-0.21885	814.95	0.61282	liquid
29.157	0.10132	0.99590	1.0041	2.2014	2.2033	7.6581	74.236	75.304	1507.2	-0.21873	811.74	0.61311	liquid
29.341	0.10132	0.99585	1.0042	2.2152	2.2171	7.7038	74.222	75.303	1507.6	-0.21861	808.54	0.61339	liquid
29.524	0.10132	0.99579	1.0042	2.2290	2.2309	7.7494	74.209	75.302	1508.0	-0.21850	805.37	0.61367	liquid
29.707	0.10132	0.99574	1.0043	2.2429	2.2447	7.7950	74.195	75.302	1508.5	-0.21838	802.22	0.61395	liquid
29.891	0.10132	0.99568	1.0043	2.2567	2.2585	7.8405	74.181	75.301	1508.9	-0.21826	799.08	0.61423	liquid
30.074	0.10132	0.99563	1.0044	2.2705	2.2723	7.8861	74.167	75.300	1509.3	-0.21814	795.97	0.61450	liquid
30.257	0.10132	0.99557	1.0044	2.2843	2.2861	7.9316	74.154	75.300	1509.7	-0.21803	792.87	0.61478	liquid
30.441	0.10132	0.99552	1.0045	2.2981	2.2999	7.9771	74.140	75.299	1510.2	-0.21791	789.80	0.61506	liquid
30.624	0.10132	0.99546	1.0046	2.3119	2.3137	8.0225	74.126	75.298	1510.6	-0.21779	786.74	0.61533	liquid
30.807	0.10132	0.99540	1.0046	2.3257	2.3275	8.0680	74.112	75.298	1511.0	-0.21768	783.71	0.61561	liquid
30.991	0.10132	0.99535	1.0047	2.3395	2.3413	8.1134	74.098	75.297	1511.4	-0.21756	780.69	0.61588	liquid
31.174	0.10132	0.99529	1.0047	2.3533	2.3551	8.1587	74.084	75.297	1511.8	-0.21744	777.69	0.61616	liquid
31.357	0.10132	0.99523	1.0048	2.3671	2.3689	8.2041	74.070	75.296	1512.2	-0.21733	774.71	0.61643	liquid
31.540	0.10132	0.99517	1.0048	2.3809	2.3827	8.2494	74.056	75.296	1512.6	-0.21721	771.75	0.61670	liquid
31.724	0.10132	0.99512	1.0049	2.3947	2.3965	8.2947	74.042	75.295	1513.0	-0.21710	768.81	0.61697	liquid
31.907	0.10132	0.99506	1.0050	2.4085	2.4103	8.3399	74.028	75.295	1513.4	-0.21698	765.88	0.61724	liquid
32.090	0.10132	0.99500	1.0050	2.4223	2.4241	8.3852	74.014	75.295	1513.8	-0.21686	762.98	0.61751	liquid
